customer_id,name,email,address,signup_date,country
2,Allison Hill,donaldgarcia@example.net,"600 Jeffery Parkways
New Jamesside, MT 29394",2025-08-08,Fiji
3,Abigail Shaffer,jpeterson@example.org,"USNV Garcia
FPO AA 13177",2025-06-04,Guatemala
4,Renee Blair,dudleynicholas@example.net,"310 Kendra Common Apt. 164
Reidstad, GA 49021",2025-06-01,Paraguay
5,Timothy Wong,amandasanchez@example.com,"503 Linda Locks
Carlshire, FM 94599",2025-05-02,Palau
6,Dr. Marvin Thomas Jr.,julie69@example.com,"710 Eric Estate
Carlsonfurt, MS 78605",2026-09-12,Marshall Islands
7,Juan Dunlap,maldonadoamanda@example.com,"46270 Stanton Track Apt. 814
East Nathaniel, GA 71198",2026-08-12,Uzbekistan
8,April Nguyen,rodriguezmichael@example.com,"117 Tiffany Place
East Donna, OH 22144",2025-03-27,Tunisia
9,Tracey Hickman,jenniferross@example.net,"713 Caleb Brooks Apt. 930
Lake Crystalbury, CA 04618",2026-06-04,Barbados
10,Diana Washington,jenniferkhan@example.net,"3116 Henderson Mountain Apt. 106
Laurenville, IA 25613",2025-01-31,Kiribati
11,Clifford Ford,ramosmichelle@example.net,"32677 Michelle Circle
South Aaron, MS 35261",2026-07-23,Slovenia
12,Jay Bernard,smoore@example.org,"Unit 9805 Box 0097
DPO AP 70116",2025-01-07,Malawi
13,Cody Larson,richarddavid@example.net,"169 Donovan Ford
Johnfurt, DC 88540",2025-12-30,Kuwait
14,Paul Jones,khowell@example.org,"425 Natasha Land
Ericside, VT 40152",2025-12-05,Sri Lanka
15,Aimee Montoya,sarah12@example.com,"824 Jacobs Stravenue
Jamesview, NY 64533",2025-03-17,United States of America
16,Anna Henderson,bradley52@example.net,"Unit 2786 Box 8011
DPO AP 20037",2025-10-18,Syrian Arab Republic
17,Juan Jordan,parkerrachel@example.org,"PSC 3315, Box 8692
APO AE 21800",2026-08-28,Sudan
18,Jason White,kimberly63@example.com,"0733 Bailey View
East Andrew, ID 52728",2025-05-12,Tonga
19,Raymond Bell,ifrazier@example.com,"USS Wiley
FPO AA 23906",2025-11-12,Estonia
20,Kyle Reed,samuel81@example.com,"PSC 3406, Box 0883
APO AA 57032",2024-11-05,Papua New Guinea
21,Lisa Alvarado,cortezkevin@example.com,"4823 Ortega Light Apt. 994
Kelleytown, ME 38107",2025-02-15,Solomon Islands
22,Mary Marshall,glowe@example.com,"148 Davis Terrace
Lake Lance, AS 26601",2024-12-31,Aruba
23,John Atkinson,gibsonolivia@example.net,"6320 Kimberly Forges Apt. 870
Port David, DC 61402",2026-01-15,Monaco
24,Tiffany Vance,jrivas@example.com,"PSC 7743, Box 4873
APO AA 58155",2024-11-10,France
25,George Orozco,taylorjesse@example.net,"66587 Brown Village
Priceshire, UT 03061",2026-06-02,Serbia
26,Karen Bender,karen68@example.net,"3467 Paul Skyway
Ramseymouth, PW 17229",2026-08-31,Martinique
27,James Elliott,millerroy@example.com,"5375 Juarez Light Suite 641
Smithside, AR 46371",2025-02-25,Bangladesh
28,Marissa Webster,jamessmith@example.org,"193 Lyons Trafficway Suite 299
Port Loriport, CT 76350",2024-10-03,Georgia
29,Susan Brooks,charlesvaughn@example.net,"919 Michael Meadow Suite 185
Port Robertfort, CT 57323",2026-08-17,North Macedonia
30,Julia Hernandez,jessicasheppard@example.com,"6945 Mariah Corners Suite 737
Rogersfort, PR 43101",2025-01-25,Croatia
31,David Ramirez,angela83@example.org,"8377 Mcguire Course Suite 363
Elizabethstad, NJ 73045",2025-10-07,Jamaica
32,Krista Bell MD,john13@example.com,"37498 Hooper Village
West Jeremy, HI 40119",2024-09-25,Martinique
33,Angel Brown,heidi27@example.org,"7752 Johnny Wall Suite 116
Joneston, FL 20056",2026-04-30,Yemen
34,Xavier Wilson,yobrien@example.net,"7496 Carroll Circle Apt. 334
East Johnside, CA 21018",2024-09-16,Korea
35,Julie Johnson,jasmine71@example.net,"936 Amy Rue Apt. 421
East Laurashire, PW 38329",2025-08-01,Lao People's Democratic Republic
36,Melissa Bender,mkim@example.org,"401 Suzanne Villages Apt. 490
South April, NV 36959",2025-01-25,Myanmar
37,Robert Costa,vbailey@example.com,"6746 Shawn Island
Marcusfurt, VI 67950",2026-05-10,Afghanistan
38,Kimberly Gutierrez,aprildean@example.com,"48247 Martinez Roads
Lake Eric, OH 02293",2025-10-23,Bermuda
39,Ryan Wilson,hollanderic@example.net,"7737 Patrick Rapid Apt. 146
Sarahhaven, KY 00837",2025-04-09,French Southern Territories
40,Lauren Keller,seanwashington@example.com,"5339 Hall Trail Suite 057
Hughesberg, NM 05353",2024-12-16,Nauru
41,Brian Kirk,foxstephen@example.net,"74596 Melissa Walk
Finleyfort, VI 71413",2024-10-11,Bangladesh
